route_id,service_id,trip_id,direction_id,trip_headsign,shape_id
TRA-TRA-2176,271,3534075,1,Geraldton,90926
TRA-TRA-3527,338,3559059,1,Merredin,91412
TRA-TRA-145,342,3559061,1,Kalgoorlie,91413
TRA-TRA-145,348,3559062,1,Kalgoorlie,91414
TRA-TRA-145,350,3559063,1,Kalgoorlie,91415
TRA-TRA-2147,264,3566216,1,Esperance,91484
TRA-TRA-2147,265,3566217,0,East Perth,91485
TRA-TRA-2160,717,3621361,1,Augusta,91837
TRA-TRA-2148,718,3621358,1,Pemberton,91838
TRA-TRA-2148,719,3621359,1,East Perth Stn - Transwa,91839
TRA-TRA-2160,202,3596319,1,Augusta,91840
TRA-TRA-2160,203,3596320,1,Bunbury Passenger,91841
TRA-TRA-2160,204,3596321,1,Pemberton,91842
TRA-TRA-2160,206,3596322,0,East Perth,91843
TRA-TRA-2148,212,3610807,1,Pemberton,91844
TRA-TRA-2148,213,3596324,0,East Perth,91845
TRA-TRA-2148,413,3610808,1,Northcliffe,91846
TRA-TRA-2173,232,3596326,1,Katanning,91847
PAT-KAL-3970,15,3964415,0,Darling Range Sports College,96035
PAT-KAL-3970,15,3964416,0,Darling Range Sports College,96035
PAT-KAL-3970,15,3964417,0,Darling Range Sports College,96035
PAT-KAL-3970,15,3964418,0,Darling Range Sports College,96035
STR-BSN-3232,134,4033874,1,Dunsborough,96721
STR-BSN-3232,493,4033875,1,Dunsborough,96721
STR-BSN-3232,477,4033876,1,Dunsborough,96721
STR-BSN-3232,493,4033878,1,Dunsborough,96723
STR-BSN-3232,477,4033879,1,Dunsborough,96723
STR-BSN-3232,134,4033880,1,Dunsborough,96723
STR-BSN-3232,473,4033881,1,Dunsborough,96724
STR-BSN-3232,493,4033882,1,Dunsborough,96725
STR-BSN-3232,477,4033883,1,Dunsborough,96725
STR-BSN-3232,134,4033884,1,Dunsborough,96725
STR-BSN-3232,473,4033885,1,Hansen St / Cape Naturaliste Rd,96726
STR-BSN-3232,473,4033886,0,Busselton,96727
STR-BSN-3232,477,4033887,0,Busselton,96727
STR-BSN-3232,474,4033888,0,Busselton,96727
STR-BSN-3232,477,4033889,0,Busselton,96727
STR-BSN-3232,477,4033890,0,Busselton,96727
STR-BSN-3232,493,4033891,0,Busselton,96727
STR-BSN-3232,493,4033892,0,Busselton,96727
STR-BSN-3232,134,4033893,0,Busselton,96727
STR-BSN-3232,134,4033894,0,Busselton,96727
STR-BSN-3232,134,4033895,0,Busselton,96727
STR-BSN-3232,473,4033896,0,Busselton,96728
STR-BSN-3232,474,4033898,0,Busselton,96730
STR-BSN-3232,493,4033899,0,Busselton,96731
STR-BSN-3232,493,4033900,0,Busselton,96731
STR-BSN-3232,477,4033901,0,Busselton,96731
STR-BSN-3232,477,4033902,0,Busselton,96731
STR-BSN-3232,134,4033903,0,Busselton,96731
STR-BSN-3232,134,4033904,0,Busselton,96731
STR-BSN-3232,473,4033905,0,Busselton,96732
STR-BSN-3233,493,4033906,1,Kealy,96733
STR-BSN-3233,477,4033907,1,Kealy,96733
STR-BSN-3233,477,4033908,1,Kealy,96733
STR-BSN-3233,477,4033909,1,Kealy,96733
STR-BSN-3233,134,4033910,1,Kealy,96733
STR-BSN-3233,134,4033911,1,Kealy,96733
STR-BSN-3233,134,4033912,1,Kealy,96733
STR-BSN-3233,134,4033913,1,Kealy,96733
STR-BSN-3233,134,4033914,1,Kealy,96733
STR-BSN-3233,134,4033915,1,Kealy,96733
STR-BSN-3233,477,4033916,1,Kealy,96733
STR-BSN-3233,477,4033917,1,Kealy,96733
STR-BSN-3233,477,4033918,1,Kealy,96733
STR-BSN-3233,493,4033919,1,Kealy,96733
STR-BSN-3233,493,4033920,1,Kealy,96733
STR-BSN-3233,493,4033921,1,Kealy,96733
STR-BSN-3233,493,4033922,1,Kealy,96733
STR-BSN-3233,474,4033923,1,Kealy,96733
STR-BSN-3233,473,4033924,1,Vasse Primary School,96734
STR-BSN-3233,493,4033925,0,Busselton,96735
STR-BSN-3233,477,4033926,0,Busselton,96735
STR-BSN-3233,477,4033927,0,Busselton,96735
STR-BSN-3233,477,4033928,0,Busselton,96735
STR-BSN-3233,477,4033929,0,Busselton,96735
STR-BSN-3233,477,4033930,0,Busselton,96735
